Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
C2H5OH	Ethanol	194.54837160	2.4E-06			"11(2,9)-10(2,8),g-"	-4.26279	-4.26150	122.03244	CDMS
C2H5OH	Ethanol	194.62109530	1.72E-05			"26(2,25)-27(4,24),g+"	-7.32371	-7.28740	348.17385	CDMS
C2H5OH	Ethanol	194.68595720	5.5E-06			"26(5,21)-26(4,22),g-"	-6.23710	-6.25440	385.10673	CDMS
C2H5OH	Ethanol	194.70343820	2.3E-06			"11(2,9)-10(2,8),g+"	-4.20495	-4.19720	117.34052	CDMS
C2H5OH	Ethanol	194.71506230	2.4E-06			"12(0,12)-11(1,11),g+"	-6.25283	-6.21310	120.24253	CDMS
C2H5OH	Ethanol	194.75571010	7.8E-06			"12(2,10)-11(3,8),g-"	-4.87799	-4.85570	132.22943	CDMS
C2H5OH	Ethanol	194.77724620	1.48E-05			"30(7,24)-29(4,26),anti"	-7.65107	-7.70590	453.06873	CDMS
C2H5OH	Ethanol	194.85411970	4.6E-06			"27(5,23)-26(6,20),g-"	-6.62418	-6.65800	407.37570	CDMS
C2H5OH	Ethanol	194.89083010	7.6E-06			"21(1,20)-21(0,21),g+"	-7.23934	-7.15360	250.89434	CDMS
C2H5OH	Ethanol	194.92532840	1.87E-05			"22(5,18)-23(7,16),g-"	-7.49012	-7.46010	302.96611	CDMS
C2H5OH	Ethanol	195.00526950	1.04E-05			"31(8,24)-30(6,25),anti"	-7.09943	-7.20530	497.65687	CDMS
C2H5OH	Ethanol	195.01048190	6.8E-06			"27(7,21)-26(8,19),g-"	-5.18039	-5.25630	436.21591	CDMS
C2H5OH	Ethanol	195.04793090	6.3E-06			"10(6,4)-11(5,6),g-"	-5.47963	-5.56170	151.57153	CDMS
C2H5OH	Ethanol	195.04937980	6.3E-06			"10(6,5)-11(5,7),g-"	-5.47962	-5.56170	151.57160	CDMS
C2H5OH	Ethanol	195.04966850	6.8E-06			"27(7,20)-26(8,18),g-"	-5.18010	-5.25610	436.21793	CDMS
C2H5OH	Ethanol	195.05492400	5E-06			"23(4,20)-23(3,21),g+"	-6.29585	-6.25230	306.46786	CDMS
C2H5OH	Ethanol	195.08371110	1.04E-05			"25(11,14)-26(10,16),g-"	-5.31697	-5.48930	480.05722	CDMS
C2H5OH	Ethanol	195.08371160	1.04E-05			"25(11,15)-26(10,17),g-"	-5.31697	-5.48930	480.05722	CDMS
C2H5OH	Ethanol	195.11321160	1.33E-05			"30(4,26)-31(6,26),g-"	-7.63115	-7.71540	472.87867	CDMS
C2H5OH	Ethanol	195.13921610	8.9E-06			"29(3,26)-28(5,23),g-"	-5.72429	-5.77650	440.71182	CDMS
C2H5OH	Ethanol	195.25323170	2.4E-05			"21(14,7)-21(12,9),anti"	-6.96669	-7.15480	439.51346	CDMS
C2H5OH	Ethanol	195.25323170	2.4E-05			"21(14,8)-21(12,10),anti"	-6.96669	-7.15480	439.51346	CDMS
C2H5OH	Ethanol	195.30676200	1.19E-05			"12(11,1)-13(10,3),g+"	-6.33300	-6.51050	269.40731	CDMS
C2H5OH	Ethanol	195.30676200	1.19E-05			"12(11,2)-13(10,4),g+"	-6.33300	-6.51050	269.40731	CDMS
C2H5OH	Ethanol	195.32552470	5E-06			"6(2,4)-5(1,5),anti"	-4.63371	-4.73820	22.76571	CDMS
C2H5OH	Ethanol	195.33279920	9.1E-06			"15(3,13)-15(0,15),g+"	-6.19746	-6.13440	167.72320	CDMS
C2H5OH	Ethanol	195.34474130	1.23E-05			"30(2,28)-29(4,25),g+"	-6.47927	-6.53390	452.06881	CDMS
C2H5OH	Ethanol	195.34766900	4E-05			"12(12,0)-13(13,1),g+"	-7.47771	-7.69600	297.52000	CDMS
C2H5OH	Ethanol	195.34766900	4E-05			"12(12,1)-13(13,0),g+"	-7.47771	-7.69600	297.52000	CDMS
C2H5OH	Ethanol	195.35796090	7.3E-06			"22(3,20)-22(1,21),g-"	-5.43162	-5.37340	282.83163	CDMS
C2H5OH	Ethanol	195.41969260	1.9E-05			"22(13,9)-22(11,12),anti"	-7.11598	-7.26260	424.23722	CDMS
C2H5OH	Ethanol	195.41969260	1.9E-05			"22(13,10)-22(11,11),anti"	-7.11598	-7.26260	424.23722	CDMS
C2H5OH	Ethanol	195.44402320	5.6E-06			"23(4,20)-23(3,21),g-"	-6.78738	-6.75160	311.24690	CDMS
C2H5OH	Ethanol	195.54725530	7.5E-06			"23(4,19)-22(5,18),g+"	-7.20944	-7.16840	307.46367	CDMS
C2H5OH	Ethanol	195.64944770	9.3E-06			"12(0,12)-11(1,11),g-"	-5.67419	-5.64330	124.93609	CDMS
C2H5OH	Ethanol	195.88581900	4.5E-06			"27(5,23)-26(6,20),anti"	-4.88557	-4.83900	350.28770	CDMS
C2H5OH	Ethanol	195.94831460	3.9E-06			"21(4,18)-21(3,19),anti"	-4.30252	-4.16690	214.83962	CDMS
C2H5OH	Ethanol	195.97053680	1.3E-05			"28(2,26)-27(4,23),g+"	-6.31560	-6.33080	403.53952	CDMS
C2H5OH	Ethanol	195.99603750	6.5E-06			"13(7,6)-14(6,8),g-"	-5.41358	-5.45500	197.45504	CDMS
C2H5OH	Ethanol	195.99635510	6.5E-06			"13(7,7)-14(6,9),g-"	-5.41357	-5.45500	197.45505	CDMS
C2H5OH	Ethanol	196.04728540	5.7E-06			"17(6,12)-18(4,15),g-"	-7.15226	-7.13260	233.03839	CDMS
C2H5OH	Ethanol	196.11058480	9.9E-06			"25(13,12)-26(12,15),anti"	-5.20886	-5.39020	484.72774	CDMS
C2H5OH	Ethanol	196.11058480	9.9E-06			"25(13,13)-26(12,14),anti"	-5.20886	-5.39020	484.72774	CDMS
C2H5OH	Ethanol	196.12685830	3.6E-06			"11(1,10)-10(1,9),anti"	-7.05082	-6.96050	58.14594	CDMS
C2H5OH	Ethanol	196.12935540	4.5E-06			"4(3,2)-3(2,1),g+"	-6.26715	-6.61040	76.16168	CDMS
C2H5OH	Ethanol	196.19641960	9.4E-06			"22(10,12)-23(9,14),g-"	-5.32465	-5.43000	394.56140	CDMS
C2H5OH	Ethanol	196.19642220	9.4E-06			"22(10,13)-23(9,15),g-"	-5.32465	-5.43000	394.56140	CDMS
C2H5OH	Ethanol	196.22205340	1.87E-05			"22(5,17)-23(7,17),g-"	-7.47240	-7.44530	303.02777	CDMS
C2H5OH	Ethanol	196.27398940	7.4E-06			"25(5,20)-25(4,21),g+"	-6.39290	-6.39180	358.45605	CDMS
C2H5OH	Ethanol	196.29231750	1.52E-05			"30(3,27)-31(5,26),g+"	-7.16646	-7.23680	461.49316	CDMS
C2H5OH	Ethanol	196.31304350	4.5E-06			"4(3,1)-3(2,2),g+"	-6.26265	-6.60630	76.16201	CDMS
C2H5OH	Ethanol	196.36789580	7.9E-06			"30(3,27)-30(2,28),g+"	-6.66530	-6.73580	461.49305	CDMS
C2H5OH	Ethanol	196.45857030	3.6E-06			"12(0,12)-11(1,11),anti"	-4.15725	-4.03970	63.85413	CDMS
C2H5OH	Ethanol	196.49013250	1.45E-05			"29(2,27)-28(4,24),g+"	-6.38378	-6.41970	427.41810	CDMS
C2H5OH	Ethanol	196.49250420	1.01E-05			"22(6,17)-23(3,21),g+"	-7.46464	-7.45010	311.29722	CDMS
C2H5OH	Ethanol	196.51006450	8.9E-06			"20(5,15)-21(2,19),g-"	-6.81743	-6.77940	267.11567	CDMS
C2H5OH	Ethanol	196.54671120	6.3E-06			"14(3,12)-14(2,12),g-"	-4.59396	-4.55130	159.97821	CDMS
C2H5OH	Ethanol	196.60091840	6.9E-06			"16(8,8)-17(7,10),g-"	-5.37223	-5.40860	253.25243	CDMS
C2H5OH	Ethanol	196.60098450	6.9E-06			"16(8,9)-17(7,11),g-"	-5.37223	-5.40860	253.25244	CDMS
C2H5OH	Ethanol	196.63111920	8.9E-06			"19(6,13)-20(3,17),g+"	-7.68679	-7.65870	258.80011	CDMS
C2H5OH	Ethanol	196.71280880	7.5E-06			"19(9,10)-20(8,12),g-"	-5.34432	-5.40350	318.95653	CDMS
C2H5OH	Ethanol	196.71282210	7.5E-06			"19(9,11)-20(8,13),g-"	-5.34432	-5.40350	318.95653	CDMS
C2H5OH	Ethanol	196.75299240	9.1E-06			"22(12,10)-23(11,13),anti"	-5.22714	-5.33140	392.96976	CDMS
C2H5OH	Ethanol	196.75299240	9.1E-06			"22(12,11)-23(11,12),anti"	-5.22714	-5.33140	392.96976	CDMS
C2H5OH	Ethanol	196.79495370	9.8E-06			"14(0,14)-13(2,12),g-"	-7.42459	-7.36280	146.39158	CDMS
C2H5OH	Ethanol	196.88187470	5.5E-06			"10(3,7)-9(2,7),g+"	-4.59809	-4.62930	113.67214	CDMS
C2H5OH	Ethanol	196.99033230	8.5E-06			"24(3,22)-23(4,19),g+"	-6.79740	-6.75510	316.91770	CDMS
C2H5OH	Ethanol	197.01687150	2.86E-05			"17(5,13)-18(7,12),g+"	-7.29097	-7.24680	214.64760	CDMS
C2H5OH	Ethanol	197.06874640	4.6E-06			"23(3,21)-23(2,22),g+"	-6.73482	-6.68210	297.10665	CDMS
C2H5OH	Ethanol	197.12994270	2.86E-05			"17(5,12)-18(7,11),g+"	-7.28992	-7.24600	214.65303	CDMS
C2H5OH	Ethanol	197.15967020	9.5E-06			"30(2,28)-29(4,25),g-"	-6.10103	-6.16640	456.76075	CDMS
C2H5OH	Ethanol	197.16264110	9.6E-06			"24(4,21)-24(3,21),g-"	-5.24656	-5.22540	331.26664	CDMS
C2H5OH	Ethanol	197.17220910	5.1E-06			"25(5,20)-25(4,21),anti"	-4.23464	-4.15920	305.75584	CDMS
C2H5OH	Ethanol	197.18349240	7.2E-06			"27(5,23)-26(6,20),g+"	-7.08049	-7.11240	402.54497	CDMS
C2H5OH	Ethanol	197.18833760	9.5E-06			"28(2,26)-27(4,23),g-"	-5.95421	-5.97880	408.19676	CDMS
C2H5OH	Ethanol	197.20579200	6.6E-06			"30(6,25)-29(7,22),g-"	-6.49140	-6.60960	493.18685	CDMS
C2H5OH	Ethanol	197.28579920	6.4E-06			"4(1,3)-3(0,3),g-"	-4.54424	-4.88300	71.32847	CDMS
C2H5OH	Ethanol	197.34768730	6.3E-06			"19(11,8)-20(10,11),anti"	-5.26239	-5.31180	311.25625	CDMS
C2H5OH	Ethanol	197.34768730	6.3E-06			"19(11,9)-20(10,10),anti"	-5.26239	-5.31180	311.25625	CDMS
